id,title,date,format,theme,filename,description,nix
MAF01,"General fertility rates (GFR) total fertility rates (TFR) births 2001 - 2012",30/07/2013,Excel,starting-well,"General_fertility_rates_total_fertility_rates_births_2001_2012.xlsx","This file includes births, general fertility rate and total fertility rate for all local authorities in West Sussex.

Graphs allow the comparison of trends over time.",0
MAF02,Live births 2004 - 2010 and fertility rates 2005 - 2010,03/02/2012,Excel,starting-well,live_births_2004_2010_and_fertility_rates_2005_2010.xls,"Data on trend in number of live births from 2004 to 2010 at local authority level.

Data also provided on general fertility rates (GFR) and total fertility rates (TFR) over the past 6 years at local authority levels.",0
DAA02,West Sussex alcohol and drugs needs assessment; summary 2014,16/06/2014,PDF,living-well,west_sussex_alcohol_and_drugs_needs_assessment_summary.pdf,"In undertaking the needs assessment researchers examined evidence, reviewed activity and provision alongside national guidance and best practice, and engaged with a wide range of local stakeholders.

In relation to specific gaps in services and/or unmet needs, the report noted the following:

* There should be an increased emphasis on recovery. As a matter of urgency there should be clear linkages with maternity services, specialist inpatient services and some specialist adult social care.
* There should be increased provision, and improved mapping, of peer support and self-help groups.
* There should be stronger integration with mental health services to ensure that the needs of people with a dual diagnosis are addressed.
* Commissioners should examine the access and take up of services by people from diverse groups, including BME groups, and people living in rural areas.
* Examine why there is apparent under-use of some services, including the Structured Day Service and the local residential Tier 4 detox and rehab service.
* Commissioners should review the assessment panel process for Tier 4 and also ensure that that Tier 4 treatment options should be considered at the start of a treatment journey not as Òthe last resortÓ.
* Work should be undertaken to improve staff wellbeing and morale, including sickness and stress levels.

There were a number of recommendations specifically relating to children and young including:
* Improved support for children and young people with parents/carers with substance misuse problems (including improved identification of children of substance misusers), improved staff training, expand provision of Alcohol Identification and Brief Interventions, ensure adequate early intervention programmes and improved co-ordination of school education work.

The needs assessment also highlighted the issue of poor quality infrastructure and noted that significant investment was required to ensure buildings are fit for purpose."
DAA03,Alcohol related admissions 2005-2011,24/07/2013,Excel,living-well,alcohol_related_admissions_2005_2011.xls,"Information on the number of hospital admissions from alcohol-attributable conditions per 100,000. \n\nThis spreadsheet looks at the trend in admission from 2005 to 2011 for each district."
DAA04,Alcohol related record violent crimes,16/07/2012,Excel,living-well,alcohol_related_record_violent_crimes.xls,"Data on alcohol-related recorded and violent crimes at Local Authority level, crude rate per 1,000 population. Data is based on 2010/11 Home Office records and applied to the 2009 mid-year population estimates."
DAA05,Drinking behaviour based mid 2008 synthetic estimates,16/07/2012,Excel,living-well,drinking_behaviour_based_mid_2008_synthetic_estimates.xls,"Estimates on lower, increasing, higher and binge drinking levels based on data from the 2008 General Lifestyle Survey (GHS). Definitions of each indicator are provided."
DAA06,Maps of licenced (alcohol/tobacco) premises in West Sussex against school location,26/05/2010,PDF,living-well,mapping_licensed_premises_and_schools.pdf,"These maps show premises licenced for the sale of tobacco and alcohol in relation to school locations."
DAA07,HMP Ford health needs assessment,15/08/2014,PDF,living-well,final_hmp_ford_hna.pdf,"A report into the health and wellbeing needs of inmates in HMP Ford prepared by the Institute for Criminal Policy for WSCC and NHS West
 Sussex in 2010.

 The report contains recommendations drawn from data analysis, stakeholder consultation, offender interviews and a literature review."
DAA08,"Lifestyles of older people in West Sussex, 2006",03/04/2014,PDF,living-well,lifestyles_of_older_people_in_west_sussex_2006.pdf,"West Sussex has an ageing population. The countyÕs population age structure is older than the South East region and England as a whole and presents challenges in relation to the demand for and provision of services, but also in the way that older people are perceived and included in the wider community.

This report includes sections on smoking and alcohol, carers, contact with health services, home, anti-social behaviour and vulnerability of 48,202 people aged 60+ in West Sussex."
DAA09,Dual diagnosis needs assessment,23/12/2014,PDF,living-well,dual_diagnosis_needs_assessment.pdf,"This is the dual diagnosis needs assessment - dual refers to people who have a mental health problem and also a substance misuse problem."
DAA10,Lives of older people in West Sussex survey; summary report 2013,16/12/2013,PDF,living-well,lives_of_older_people_in_west_sussex_survey_summary_report_2013_final_.pdf,"West Sussex County Council conducted a telephone survey of 2803 residents aged 65+ and selected at random.

The aims of the survey were to understand levels of loneliness, social isolation and participation in older people in the county and to obtain data on health, wellbeing and lifestyle."
DAA11,Lifestyles of 16 to 24 year olds in West Sussex 2007,03/04/2014,PDF,living-well,lifestyles_of_16_to_24_year_olds_in_west_sussex_2008.pdf,"This survey provides West Sussex with an important and timely insight into the health and educational determinants of young adults in further and higher education.

This report provides information on demographics, lifestyles, high-risk and sexual behaviour of young adults aged between 16 and 24 years old.

This lifestyle survey of 16 to 24-year-olds attending Further and Higher Education Colleges in West Sussex was conducted in the winter term 2006-2007 (representing the views of 2,672 young adults)."
DAA12,Lifestyles of 14-15 year olds in West Sussex 2015,17/11/2015,PDF,living-well,Lifestyles-of-14-15-year-olds-in-West-Sussex-2015.pdf,
PAWM01,Participation in sport 2007 - 2009 by district,31/01/2011,Excel,living-well,participation_in_sport_2007_2009_district.xls,"Estimates for adult participation in sport - percentage participating in moderate intensity activity for 30 minutes or more at least three times a week.

Sample sizes are typically 1% of the local population or less so should be used with care.

Survey data are presented for two separate years."
PAWM02,Modelled adult obesity prevalence 2006 - 2008,03/02/2012,Excel,living-well,modelled_adult_obesity_prevalence_2006_2008.xls,"Percentage of Adults (aged 16+) who are obese from 2006-2008.

Data is at local authority level and is taken from APHO."
PAWM03,HMP Ford health needs assessment,15/08/2014,PDF,living-well,final_hmp_ford_hna.pdf,"A report into the health and wellbeing needs of inmates in HMP Ford prepared by the Institute for Criminal Policy for WSCC and NHS West Sussex in 2010.

The report contains recommendations drawn from data analysis, stakeholder consultation, offender interviews and a literature review."
PAWM04,"Lifestyles of older people in West Sussex, 2006",03/04/2014,PDF,living-well,lifestyles_of_older_people_in_west_sussex_2006.pdf,"West Sussex has an ageing population. The countyÕs population age structure is older than the South East region and England as a whole and presents challenges in relation to the demand for and provision of services, but also in the way that older people are perceived and included in the wider community.

This report includes sections on smoking and alcohol, carers, contact with health services, home, anti-social behaviour and vulnerability of 48,202 people aged 60+ in West Sussex."
PAWM05,Lifestyles of 16 to 24 year olds in West Sussex 2007,03/04/2014,PDF,living-well,lifestyles_of_16_to_24_year_olds_in_west_sussex_2008.pdf,"This survey provides West Sussex with an important and timely insight into the health and educational determinants of young adults in further and higher education.

This report provides information on demographics, lifestyles, high-risk and sexual behaviour of young adults aged between 16 and 24 years old.

This lifestyle survey of 16 to 24-year-olds attending Further and Higher Education Colleges in West Sussex was conducted in the winter term 2006-2007 (representing the views of 2,672 young adults)."
PAWM06,Lifestyles of 14-15 year olds in West Sussex 2015,17/11/2015,PDF,living-well,Lifestyles-of-14-15-year-olds-in-West-Sussex-2015.pdf,
SH01,West Sussex Sexual Health Needs Asessment 2014 Final Report,30/01/2017,PDF,living-well,West-Sussex-Sexual-Health-Needs-Asessment-2014-Final-Report.pdf,"In February 2014, West Sussex County Council commissioned Nudge Associates Limited to undertake a population focused sexual health needs assessment incorporating a stakeholder engagement process with key informants and service users.

The aim was to gather a comprehensive picture of the sexual health needs of the population of West Sussex, to examine the local epidemiological evidence and to elicit opinions on whether the current services and delivery models meet the diverse population needs of West Sussex, in order to determine the most appropriate way forward for sexual health services throughout West Sussex."
SH02,Prevalence of chlamydia in under 25 year olds,16/08/2013,Excel,living-well,prevalence_chlamydia_under_25.xlsx,"Prevalence of chlamydia in under 25 year old along with screening numbers for LA and England (2009-2010)."
SH03,Under 18 and under 16 conception rates 2010,04/05/2012,Excel,living-well,under_18_under_16_conception_rates_2010.xls,"Under 18 and under 16 conception rate for West Sussex and England based on motherÕs usual area of residence."
SH04,Lifestyles of 14 to 15 year olds 2010,17/10/2012,PDF,living-well,lifestyles_of_14_to_15_year_olds_2010.pdf,"Second in the series of surveys carried out on Year 10 pupils, which provides an overview of the health and wellbeing of young people in West Sussex.

The report provides information on demographics, lifestyles, high-risk behaviours and attitudes and beliefs of pupils in West Sussex.

The survey took place in the summer of 2009 with 21 schools participating (representing the views of 3,375 pupils)."
SH05,Lifestyles of 16 to 24 year olds in West Sussex 2007,03/04/2014,PDF,living-well,lifestyles_of_16_to_24_year_olds_in_west_sussex_2008.pdf,"This survey provides West Sussex with an important and timely insight into the health and educational determinants of young adults in further and higher education.

This report provides information on demographics, lifestyles, high-risk and sexual behaviour of young adults aged between 16 and 24 years old.

This lifestyle survey of 16 to 24-year-olds attending Further and Higher Education Colleges in West Sussex was conducted in the winter term 2006-2007 (representing the views of 2,672 young adults)."
SH06,HMP Ford health needs assessment,15/08/2014,PDF,living-well,final_hmp_ford_hna.pdf,"A report into the health and wellbeing needs of inmates in HMP Ford prepared by the Institute for Criminal Policy for WSCC and NHS West
 Sussex in 2010. \n\nThe report contains recommendations drawn from data analysis, stakeholder consultation, offender interviews and a literature review."
SMOK01,Smoking prevalence briefing note; March 2015,08/04/2015,Word,living-well,smoking_prevalence_briefing_march_2015.docx,
SMOK02,Smoking data 2001 - 2011,14/08/2013,Excel,living-well,smoking_data_2001_2011.xlsx,"A various spread of smoking data from 2007-2011"
SMOK03,HMP Ford health needs assessment,15/08/2014,PDF,living-well,final_hmp_ford_hna.pdf,"A report into the health and wellbeing needs of inmates in HMP Ford prepared by the Institute for Criminal Policy for WSCC and NHS West Sussex in 2010.

The report contains recommendations drawn from data analysis, stakeholder consultation, offender interviews and a literature review."
SMOK04,Lifestyles of 16 to 24 year olds in West Sussex 2007,03/04/2014,PDF,living-well,lifestyles_of_16_to_24_year_olds_in_west_sussex_2008.pdf,"This survey provides West Sussex with an important and timely insight into the health and educational determinants of young adults in further and higher education.

This report provides information on demographics, lifestyles, high-risk and sexual behaviour of young adults aged between 16 and 24 years old.

This lifestyle survey of 16 to 24-year-olds attending Further and Higher Education Colleges in West Sussex was conducted in the winter term 2006-2007 (representing the views of 2,672 young adults)."
SMOK05,"Lifestyles of older people in West Sussex, 2006",03/04/2014,PDF,living-well,lifestyles_of_older_people_in_west_sussex_2006.pdf,"West Sussex has an ageing population. The countyÕs population age structure is older than the South East region and England as a whole and presents challenges in relation to the demand for and provision of services, but also in the way that older people are perceived and included in the wider community.

This report includes sections on smoking and alcohol, carers, contact with health services, home, anti-social behaviour and vulnerability of 48,202 people aged 60+ in West Sussex."
SMOK06,Lifestyles of 14-15 year olds in West Sussex 2015,17/11/2015,PDF,living-well,Lifestyles-of-14-15-year-olds-in-West-Sussex-2015.pdf,
SMOK07,West Sussex smoking cessation health equity audit 2013 - 2014,16/05/2015,PDF,living-well,smoking_cessation_health_equity_audit_2013_14.pdf,"This report is to provide local stop smoking services, commissioners and decision makers with information about how equitable the distributions of resources for stop smoking services were delivered relative to the health needs of the population."
SMOK08,Lives of older people in West Sussex survey; summary report 2013,16/12/2013,PDF,living-well,lives_of_older_people_in_west_sussex_survey_summary_report_2013_final_.pdf,"West Sussex County Council conducted a telephone survey of 2803 residents aged 65+ and selected at random.

The aims of the survey were to understand levels of loneliness, social isolation and participation in older people in the county and to obtain data on health, wellbeing and lifestyle."
LL01,West Sussex JSNA Older People Profiling,01/02/2017,PDF,ageing-well,West-Sussex-JSNA-Older-People-Profiling.pdf,"This profile collates data relating to the health and wellbeing of older people in West Sussex. Data are presented, in the main, at county level. District and CCG level information, where available, is on the JSNA website."
LL02,Estimation of Need and Social Care Demand Management - West Sussex PH,01/02/2017,PDF,ageing-well,Estimation-of-Need-and-Social-Care-Demand-Management-West-Sussex-PH.pdf,"This briefing aims to:

1. Segment the West Sussex over 65 population in terms of social care need and demand (in terms of support for daily living activities, self-care and domestic tasks. Public Health has approached segmentation in terms of:
  1. Population characteristics 
  2. Assumptions drawn from West Sussex GP patient data, using information on age and long term conditions.
  3. Existing patterns of social care demand, using data from WSCC Frameworki and Finance.
2. Identify how provision supports people within, or moves people between segments/states.
3. Provide a basic review the information required, and that available, to inform how our knowledge of demand."
LL03,Life expectancy at birth and age 65 years; 1993 - 2011,07/08/2013,Excel,ageing-well,life_expectancy_birth_age_65_1993_2011.xls,"Life expectancy at birth and age 65: 1993 - 2011 at district level, presented with yearly trend graphs."
LL04,"Adult health, disabilities, services and mental health population projections for older people 2014 - 2029",10/04/2012,Excel,ageing-well,adult_health_disabilities_services_and_mental_health_population_projections_for_older_people_2014_2029.xls,"Population projections for older people aged 65 and over from 2014-2029 based on the Projecting Older People Population Information System (POPPI) model."
LL05,Lives of older people in West Sussex survey; summary report 2013,16/12/2013,PDF,ageing-well,lives_of_older_people_in_west_sussex_survey_summary_report_2013_final_.pdf,"West Sussex County Council conducted a telephone survey of 2803 residents aged 65+ and selected at random.

The aims of the survey were to understand levels of loneliness, social isolation and participation in older people in the county and to obtain data on health, wellbeing and lifestyle."
LL06,Eye health - baseline evidence and service data,12/09/2013,Word,ageing-well,jsna_eye_health_sight_loss_briefing.docx,"With a National Eye Health week established, this report on eye health presents information on the prevalence on eye conditions as well as information on sight tests by service user groups, cataract operations and the number of people registered blind in West Sussex."
LL07,Population in care homes by local authority census 2011,08/01/2014,Excel,ageing-well,population_in_care_homes_by_local_authority_census_2011.xls,"This document shows West Sussex having the 4th highest proportion of population aged 75+ of all counties in England and the 2nd highest proportion of people living in care homes."
MHWB01,Falls Commentary - Summer 2017,07/08/2017,PDF,ageing-well,Falls-Summer-2017-v3.pdf,"Falls and injuries sustained due to a fall are a common and serious problem for older people. People aged 65 and older have the highest risk of falling, with 30% of people older than 65, and 50% of people older than 80 falling at least once a year. Annually, approximately 5% of older people who fall obtain a fracture or require hospitalisation for a fall-related injury.

Nationally, the population of older adults is projected to increase. The number and proportion of older people continues to rise, with over 11.6 million people (17.8% of the population) in the UK aged 65 and over and 1.5 million (2.3% of the population) aged 85 and over in mid-2015.

West Sussex has a large and growing population of older adults. If population growth projections are correct, the number of adults aged 65+ that are projected to require hospital treatment for a fall will almost double by 2039.

This data commentary summarises key data sources regarding falls and fractures among older adults in West Sussex. This will help inform the development of a falls and fractures prevention strategy to address this growing need."
MHWB02,Social Capital and Loneliness in Older Age Summary from JSNA,30/01/2017,PDF,ageing-well,Social-Capital-and-Loneliness-in-Older-Age-Summary-from-JSNA.pdf,"This is a summary document from the 2014 JSNA. It contains information on social capital and loneliness in older age. Specifically the document comprises data from the Chartered Institute of Environmental Health on noise complaints, and West Sussex Community Survey (2014) on contact with friends and family, and trust in others."
MHWB03,Dementia prevalence estimates by district and year,27/06/2014,Excel,ageing-well,dementia_prevalence_estimates_district_and_year.xlsx,"Estimates of the prevalence of various types of dementia by district, every year between 2012 and 2037."
MHWB04,Visual and hearing impairment predictions 2012 - 2016,27/08/2013,Excel,ageing-well,visual_hearing_impairment_predictions_2012_2016.xlsx,"Projections for people with visual or hearing impairment at county and district level between 2012-2016. All data comes in 10 year age bands."
MHWB05,Detailed long term limiting illness data (2011),16/08/2013,Excel,ageing-well,detailed_long_term_limiting_illness_data_2011_.xlsx,"Data on long term limiting illnesses (LTLI) with West Sussex at district level.

People with LTLI are categorised by age, and by self assessed health status."
MHWB06,General health; census 2011,16/08/2013,Excel,ageing-well,general_health_census_2011.xlsx,"2011 Census data on self assessed quality of health by age and sex. "
MHWB07,Falls resulting in hip fracture (proximal femur),07/08/2013,Excel,ageing-well,falls_resulting_in_hip_fracture_proximal_femur.xls,"Falls resulting in hip fractures between 2002-2011. All data at district level.

Raw count, indirect standardised rates, and CIs are all given."
MHWB08,Hip and knee replacements,07/08/2013,Excel,ageing-well,hip_and_knee_replacement.xls,"Hip and Knee Replacements figures between 2002/03 - 2010/11. Figures include raw count, indirect standardisation and confidence intervals. All data at District level and above."
MHWB09,Comparison between the number of people with a disability or limiting long term illness 2001 - 2011,19/07/2013,Excel,ageing-well,compariosn_between_number_people_with_disability_or_limiting_long_term_illness_2001_2011.xls,"Comparison between the number of people with a disability or limiting long-term illness (LLTI).

Data is presented for all LSOAs, wards as well as districts and shows the areas that have significantly changed in that 10-year period."
MHWB10,Long term limiting illness and good health by ward,31/10/2011,Excel,ageing-well,long_term_limiting_illness_and_good_health_by_ward_2001.xls,"Answers to the health and long term limiting illness questions on the 2001 census by age group by ward, percentages applied to mid year population estimates 2007."
MHWB11,Percentage of_Incapacity Benefit (IB)/Severe Disablement Allowance (SDA) claimants claiming for reasons of mental health - May 2011,23/12/2011,Excel,ageing-well,percentage_of_ib_sda_claimants_claiming_for_reasons_of_mental_health_may_2011.xls,"Percentage of Incapacity Benefit (IB)/ Severe Disability Allowance (SDA) claimants claiming for reasons of mental health. IB and SDA are claimed by working age people who are incapable of work due to an illness or disability. This table is not adjusted for the size or age structure of the population and therefore should be interpreted with care."
MHWB12,"Lifestyles of older people in West Sussex, 2006",03/04/2014,PDF,ageing-well,lifestyles_of_older_people_in_west_sussex_2006.pdf,"West Sussex has an ageing population. The countyÕs population age structure is older than the South East region and England as a whole and presents challenges in relation to the demand for and provision of services, but also in the way that older people are perceived and included in the wider community.

This report includes sections on smoking and alcohol, carers, contact with health services, home, anti-social behaviour and vulnerability of 48,202 people aged 60+ in West Sussex."
MHWB13,Adult mental health needs assessment,18/07/2014,PDF,ageing-well,adult_mental_health_needs_assessment.pdf,"This assessment focusses on adults (people aged 18 years or over), and includes Ònon-organicÓ mental health of older people: a separate needs assessment on dementia is being produced.

The report examines not just mental illness or conditions, but also considers what promotes and supports mental and emotional wellbeing."
MHWB14,West Sussex residents survey; 2014,22/08/2014,PDF,ageing-well,west_sussex_residents_survey_2014_.pdf,"A Community Survey was undertaken in West Sussex in February to May 2014.

Almost 4,000 people across the county were surveyed; it was a household face-to-face survey.

The survey used nationally and internationally validated questions on a range of issues including volunteering in the community, social networks and isolation (both in the general population and amongst older people), local concerns, assets and social action.

The background questions used, wherever possible, the same format as the Census 2011."
MHWB15,Lives of older people in West Sussex survey; summary report 2013,16/12/2013,PDF,ageing-well,lives_of_older_people_in_west_sussex_survey_summary_report_2013_final_.pdf,"West Sussex County Council conducted a telephone survey of 2803 residents aged 65+ and selected at random.

The aims of the survey were to understand levels of loneliness, social isolation and participation in older people in the county and to obtain data on health, wellbeing and lifestyle."
MHWB16,Bentswood stakeholder workshop summary: Maintaining health and wellbeing in Bentswood,23/01/2013,PDF,ageing-well,maintaining_h_and_w_bentswood.pdf,"West Sussex Public Health is undertaking an innovative new project to enhance health improvement in Bentswood.

The purpose of the workshop was to introduce the stakeholders who live and work in Bentswood, to innovative ways of working within neighbourhoods and communities.

This report is a summary of the discussion held on the day on how to improve health and wellbeing in the area using resources available in Bentswood."
NA01,West Sussex Suicide Audit - 2017,20/03/2017,PDF,reports,West-Sussex-Suicide-Audit-2017.pdf,"In 2014 the West Sussex Public Health department completed an audit which covered all West Sussex suicides and open verdicts likely to be suicides, registered at inquest during the period: 1st January 2011 to 31st December 2012. The information in this audit was used to inform the work of the West Sussex suicide prevention steering group.

This new audit covers the three year period 1st January 2013 to 31st December 2015 and aims to build upon the knowledge generated by the previous audit, ensuring the focus is on information that is not readily available using national data sources."
NA02,West Sussex Children Looked After Needs Assessment 2017,12/12/2017,PDF,reports,West-Sussex-Children-Looked-After-Needs-Assessment-2017.pdf,"In late 2015 OFSTED conducted an inspection of services for children in need of help and protection, children looked after and care leavers, and a review of the effectiveness of the Local Safeguarding Children Board. Services for children provided and delivered by the council, including those in need of help and protection and those looked after, were judged to require improvement. This led to the development of the West Sussex OFSTED Improvement Plan 2016 - 2017, in which the imperative to produce a needs assessment for looked after children was identified. National and local datasets were analysed and the views of service leaders sought. The needs assessment reports on topics such as demographics, legal status, placement characteristics, engagement and voice, health, education and care leavers."
NA03,Briefing - Excess Winter Mortality in Horsham 2013,30/01/2017,PDF,reports,Briefing-Excess-Winter-Mortality-in-Horsham-2013.pdf,"This briefing has been drafted to:
- provide a detailed understanding of the excess winter death indicator, as published by Public Health England in annual health profiles; and provide additional data relating to Horsham
- outline the national evidence and research into excess winter mortality and identify specific recommendations for action at a local level.

In the three year period August 2012 to July 2015 there were 220 ÒexcessÓ winter deaths in Horsham. The excess winter death (EWD) index of 18.5 was not significantly different to the England and South East rates of 19.6 and 18.7 respectively."
NA04,Briefing - Excess Winter Mortality in Adur 2013,30/01/2017,PDF,reports,Briefing-Excess-Winter-Mortality-in-Adur-2013.pdf,"This briefing has been drafted to:
- provide a detailed understanding of the excess winter death indicator, as published by Public Health England in annual health profiles; and provide additional data relating to Adur
- outline the national evidence and research into excess winter mortality and identify specific recommendations for action at a local level.

In the three year period August 2012 to July 2015 there were 217 ÒexcessÓ winter deaths in Adur. The excess winter death (EWD) index of 34.5 was significantly higher than the England and South East rates of 19.6 and 18.7 respectively."
NA05,Briefing - Child Disability Estimates,30/01/2017,PDF,reports,Briefing-Child-Disability-Estimates.pdf,"This briefing incorporates work undertaken by the Institute of Public Care for West Sussex County Council as part of the needs assessment of people born with or who acquire a lifelong disability.

The briefing provides an estimate of the number of children living in West Sussex who have a disability and outline the sources of data and background to the assumptions made. This information is important to aid the planning of services and support to children, young people and their families.

There is no single definition of disability and therefore providing a single accurate estimate is difficult; for example the 2011 Census definition of disability is: ÔA long?term health problem or disability that limits a personÕs day?to?day activities, and has lasted, or is expected to last, at least 12 monthsÕ; the Family Resources Survey (FRS) uses a different definition: Ôa long?standing illness, disability or impairment which causes substantial difficulty with day?today activitiesÕ. Estimating the number of children and young people according to ÒseverityÓ or in terms of specific needs or conditions is also problematic. This briefing provides the background to the basis estimates have been made."
NA06,IAPT West Sussex Report,01/02/2017,PDF,reports,IAPT-West-Sussex-Report.pdf,"This equity audit assesses the equity of provision of IAPT to different population groups, according to estimated need.

30% of people estimated to seek help for common mental illness in West Sussex were referred to IAPT in 2013/14. Of these, 37% were seen in IAPT and 26% completed at least two sessions.

Access to the service decreases with age, with 12% of need referred in men and women aged 65 to 74, and 7% of need referred in men and women aged 75 years and above.

Overall males were referred 15% less than females according to estimated levels of need.

Asians have lower rates of attendance than might be expected from population data.

There is wide variation of referral to IAPT from GP practices across West Sussex.

Recommendations include increasing IAPT capacity, improving recording within the service to better identify unmet need, improve retention within the service to ensure higher completion rates, and better engagement with population subgroups in which there is low uptake of the service."
NA07,West Sussex Early Years Needs Assessment (2015) Report,20/04/2016,PDF,reports,West-Sussex-Early-Years-Needs-Assessment-Full-Report.pdf,"The early years of life are crucial for long-term physical, social, emotional and mental wellbeing. The evidence is clear that investment in, and a policy emphasis on, the early years of life yields better long-term outcomes than interventions in later years.

The West Sussex Public Health and Social Research unit have reviewed local and national evidence and engaged with families and professionals to identify how the needs of the 0-5 years population are currently being met.

Local views, experiences, and opinions were gathered from parents and carers, and from local stakeholders (including staff employed in early yearsÕ services). Views were also identified from parents/carers of children with a disability (via a postal survey), foster carers and families from the gypsy and traveller community. In depth interviews were conducted with young parents, and Eastern European families.

This detailed report presents the findings from this research, and provides recommendations to help inform future commissioning priorities in West Sussex."
NA08,West Sussex radiotherapy needs assessment 2010,09/10/2014,PDF,reports,west_sussex_radiotherapy_needs_assessment_2010.pdf,"Although age-standardised cancer incidence rates in West Sussex are low, crude rates are high due to the age structure of the population.

This Health Needs Assessment was written in 2010 in part to inform the proposed expansion of radiotherapy provision in the West Sussex area. Since its publication, radiotherapy provision has become available at East Surrey Hospital in Redhill, 15 miles north of the West Sussex border. Other nearby provision is discussed in this report but no provision currently exists within West Sussex."
NA09,West Sussex mental health needs assessment (children and young people) June 2014,16/06/2014,PDF,reports,west_sussex_children_and_young_people_emotional_and_well_being_needs_assessment___june_2014.pdf,"This needs assessment looks at the emotional wellbeing and mental health of children and young people in West Sussex; in the main people aged 0-18 years of age, in some instances up to 25 years.

The information collated aims to answer some basic questions:
* What are the characteristics of the population aged 0-24 years in West Sussex?
* What are the risk factors and protective factors affecting the mental health and emotional wellbeing of the population?
* What are the mental health, emotional and behavioural conditions and needs requiring commissioned services?
* What services are currently provided to meet those needs?\n\nHow well are services currently provided to meet those needs?
* What gaps/barriers, if any, need to be addressed?

While a range of data have been collated, at the heart of this work are the experiences and views of children and young people, parents, carers and professionals. The needs assessment was conducted by researchers in the Public Health, Health and Social Care Commissioning Directorate, with consultation fieldwork undertaken between October 2013 and December 2013."
NA10,Speech Language and Communication Needs Assessment 2010 MGA Consulting,01/02/2017,PDF,reports,Speech-Language-and-Communication-Needs-Assessment-2010-MGA-Consulting.pdf,"This needs assessment was commissioned to provide a summary of the needs of speech, language and communication of children and young people of West Sussex in 2010."
NA11,HMP Ford health needs assessment,15/08/2014,PDF,reports,final_hmp_ford_hna.pdf,"A report into the health and wellbeing needs of inmates in HMP Ford prepared by the Institute for Criminal Policy for WSCC and NHS West Sussex in 2010.

The report contains recommendations drawn from data analysis, stakeholder consultation, offender interviews and a literature review."
NA12,Adult mental health needs assessment,18/07/2014,PDF,reports,adult_mental_health_needs_assessment.pdf,"This assessment focusses on adults (people aged 18 years or over), and includes Ònon-organicÓ mental health of older people: a separate needs assessment on dementia is being produced.

The report examines not just mental illness or conditions, but also considers what promotes and supports mental and emotional wellbeing."
NA13,West Sussex alcohol and drugs needs assessment; final report 2014,16/06/2014,PDF,reports,west_sussex_alcohol_and_drugs_needs_assessment___final_report.pdf,"In undertaking the needs assessment researchers examined evidence, reviewed activity and provision alongside national guidance and best practice, and engaged with a wide range of local stakeholders.

In relation to specific gaps in services and/or unmet needs, the report noted the following:

* There should be an increased emphasis on recovery. As a matter of urgency there should be clear linkages with maternity services, specialist inpatient services and some specialist adult social care.
* There should be increased provision, and improved mapping, of peer support and self-help groups.
* There should be stronger integration with mental health services to ensure that the needs of people with a dual diagnosis are addressed.
* Commissioners should examine the access and take up of services by people from diverse groups, including BME groups, and people living in rural areas.
* Examine why there is apparent under-use of some services, including the Structured Day Service and the local residential Tier 4 detox and rehab service.
* Commissioners should review the assessment panel process for Tier 4 and also ensure that that Tier 4 treatment options should be considered at the start of a treatment journey not as Òthe last resortÓ.
* Work should be undertaken to improve staff wellbeing and morale, including sickness and stress levels.

There were a number of recommendations specifically relating to children and young including:
* Improved support for children and young people with parents/carers with substance misuse problems (including improved identification of children of substance misusers), improved staff training, expand provision of Alcohol Identification and Brief Interventions, ensure adequate early intervention programmes and improved co-ordination of school education work.

The needs assessment also highlighted the issue of poor quality infrastructure and noted that significant investment was required to ensure buildings are fit for purpose."
NA14,West Sussex alcohol and drugs needs assessment; summary 2014,16/06/2014,PDF,reports,west_sussex_alcohol_and_drugs_needs_assessment_summary.pdf,"In undertaking the needs assessment researchers examined evidence, reviewed activity and provision alongside national guidance and best practice, and engaged with a wide range of local stakeholders.

In relation to specific gaps in services and/or unmet needs, the report noted the following: 

*There should be an increased emphasis on recovery. As a matter of urgency there should be clear linkages with maternity services, specialist inpatient services and some specialist adult social care.
*There should be increased provision, and improved mapping, of peer support and self-help groups.
*There should be stronger integration with mental health services to ensure that the needs of people with a dual diagnosis are addressed.
*Commissioners should examine the access and take up of services by people from diverse groups, including BME groups, and people living in rural areas.
*Examine why there is apparent under-use of some services, including the Structured Day Service and the local residential Tier 4 detox and rehab service.
*Commissioners should review the assessment panel process for Tier 4 and also ensure that that Tier 4 treatment options should be considered at the start of a treatment journey not as Òthe last resort.
*Work should be undertaken to improve staff wellbeing and morale, including sickness and stress levels.

There were a number of recommendations specifically relating to children and young including:
* Improved support for children and young people with parents/carers with substance misuse problems (including improved identification of children of substance misusers)
* Improved staff training
* Expand provision of Alcohol Identification and Brief Interventions
* Ensure adequate early intervention programmes and improved co-ordination of school education work.

The needs assessment also highlighted the issue of poor quality infrastructure and noted that significant investment was required to ensure buildings are fit for purpose."
